load_zone,date_time_UTC,date_time_HST,system_load
Oahu,2007-01-01 00:00:00+00,12/31/2006 14:00,81.38
Oahu,2007-01-01 01:00:00+00,12/31/2006 15:00,81.1
Oahu,2007-01-01 02:00:00+00,12/31/2006 16:00,81.58
Oahu,2007-01-01 03:00:00+00,12/31/2006 17:00,82.21
Oahu,2007-01-01 04:00:00+00,12/31/2006 18:00,81.92
Oahu,2007-01-01 05:00:00+00,12/31/2006 19:00,82.23
Oahu,2007-01-01 06:00:00+00,12/31/2006 20:00,81.09
Oahu,2007-01-01 07:00:00+00,12/31/2006 21:00,80.65
Oahu,2007-01-01 08:00:00+00,12/31/2006 22:00,80.4
Oahu,2007-01-01 09:00:00+00,12/31/2006 23:00,79.74
Oahu,2007-01-01 10:00:00+00,1/1/2007 0:00,79.47
Oahu,2007-01-01 11:00:00+00,1/1/2007 1:00,78.86
Oahu,2007-01-01 12:00:00+00,1/1/2007 2:00,77.8
Oahu,2007-01-01 13:00:00+00,1/1/2007 3:00,76.02
Oahu,2007-01-01 14:00:00+00,1/1/2007 4:00,74.73
Oahu,2007-01-01 15:00:00+00,1/1/2007 5:00,74.49
Oahu,2007-01-01 16:00:00+00,1/1/2007 6:00,76.17
Oahu,2007-01-01 17:00:00+00,1/1/2007 7:00,77.4
Oahu,2007-01-01 18:00:00+00,1/1/2007 8:00,77.51
Oahu,2007-01-01 19:00:00+00,1/1/2007 9:00,79.75
Oahu,2007-01-01 20:00:00+00,1/1/2007 10:00,80.58
Oahu,2007-01-01 21:00:00+00,1/1/2007 11:00,80.91
Oahu,2007-01-01 22:00:00+00,1/1/2007 12:00,81.42
Oahu,2007-01-01 23:00:00+00,1/1/2007 13:00,81.3
Oahu,2007-01-02 00:00:00+00,1/1/2007 14:00,81.1
Oahu,2007-01-02 01:00:00+00,1/1/2007 15:00,80.38
Oahu,2007-01-02 02:00:00+00,1/1/2007 16:00,81.33
Oahu,2007-01-02 03:00:00+00,1/1/2007 17:00,80.66
Oahu,2007-01-02 04:00:00+00,1/1/2007 18:00,81.81
Oahu,2007-01-02 05:00:00+00,1/1/2007 19:00,82.35
Oahu,2007-01-02 06:00:00+00,1/1/2007 20:00,81.65
Oahu,2007-01-02 07:00:00+00,1/1/2007 21:00,81.43
Oahu,2007-01-02 08:00:00+00,1/1/2007 22:00,80.52
Oahu,2007-01-02 09:00:00+00,1/1/2007 23:00,79.68
Oahu,2007-01-02 10:00:00+00,1/2/2007 0:00,76.47
Oahu,2007-01-02 11:00:00+00,1/2/2007 1:00,77.52
Oahu,2007-01-02 12:00:00+00,1/2/2007 2:00,76.05
Oahu,2007-01-02 13:00:00+00,1/2/2007 3:00,75.06
Oahu,2007-01-02 14:00:00+00,1/2/2007 4:00,75.37
Oahu,2007-01-02 15:00:00+00,1/2/2007 5:00,76.49
Oahu,2007-01-02 16:00:00+00,1/2/2007 6:00,78.59
Oahu,2007-01-02 17:00:00+00,1/2/2007 7:00,79.86
Oahu,2007-01-02 18:00:00+00,1/2/2007 8:00,80.04
Oahu,2007-01-02 19:00:00+00,1/2/2007 9:00,81.3
Oahu,2007-01-02 20:00:00+00,1/2/2007 10:00,82.48
Oahu,2007-01-02 21:00:00+00,1/2/2007 11:00,79.89
